St. John's — Historical Completions by Dwelling Type  
January 1990 to March 2024 Rental
,Single,Semi-Detached,Row,Apartment,All,
Apr 1995,0,0,0,0,0,
May 1995,0,0,0,0,0,
Jun 1995,0,0,0,0,0,
Jul 1995,0,0,0,0,0,
Aug 1995,0,0,0,0,0,
Sep 1995,0,0,0,0,0,
Oct 1995,0,0,0,0,0,
Nov 1995,0,0,0,0,0,
Dec 1995,0,0,0,0,0,
Jan 1996,0,0,0,0,0,
Feb 1996,0,0,0,0,0,
Mar 1996,0,0,0,0,0,
Apr 1996,0,0,0,0,0,
May 1996,0,0,0,0,0,
Jun 1996,0,0,0,0,0,
Jul 1996,0,0,0,0,0,
Aug 1996,0,0,0,0,0,
Sep 1996,0,0,0,0,0,
Oct 1996,0,0,0,0,0,
Nov 1996,0,0,0,0,0,
Dec 1996,0,0,0,0,0,
Jan 1997,0,0,0,0,0,
Feb 1997,0,0,0,0,0,
Mar 1997,0,0,0,0,0,
Apr 1997,0,0,0,0,0,
May 1997,0,0,0,0,0,
Jun 1997,0,0,0,0,0,
Jul 1997,0,0,0,0,0,
Aug 1997,0,0,0,0,0,
Sep 1997,0,0,0,0,0,
Oct 1997,0,0,0,0,0,
Nov 1997,0,0,0,0,0,
Dec 1997,0,0,0,0,0,
Jan 1998,0,0,0,0,0,
Feb 1998,0,0,0,0,0,
Mar 1998,0,0,0,0,0,
Apr 1998,0,0,0,0,0,
May 1998,0,0,0,0,0,
Jun 1998,0,0,0,0,0,
Jul 1998,0,0,0,0,0,
Aug 1998,0,0,0,0,0,
Sep 1998,0,0,0,0,0,
Oct 1998,0,0,0,0,0,
Nov 1998,0,0,0,0,0,
Dec 1998,0,0,0,0,0,
Jan 1999,0,0,0,0,0,
Feb 1999,2,0,0,2,4,
Mar 1999,0,0,0,0,0,
Apr 1999,0,0,0,0,0,
May 1999,0,0,0,0,0,
Jun 1999,0,0,0,0,0,
Jul 1999,1,0,0,0,1,
Aug 1999,0,0,0,0,0,
Sep 1999,0,0,0,0,0,
Oct 1999,0,0,0,0,0,
Nov 1999,0,0,0,0,0,
Dec 1999,0,0,0,0,0,
Jan 2000,0,0,0,0,0,
Feb 2000,0,0,0,0,0,
Mar 2000,0,0,0,0,0,
Apr 2000,0,0,0,0,0,
May 2000,0,0,0,0,0,
Jun 2000,0,0,0,0,0,
Jul 2000,0,0,0,0,0,
Aug 2000,0,0,0,0,0,
Sep 2000,0,0,0,0,0,
Oct 2000,0,0,0,0,0,
Nov 2000,0,0,0,0,0,
Dec 2000,0,0,0,0,0,
Jan 2001,0,0,0,0,0,
Feb 2001,0,0,0,0,0,
Mar 2001,0,0,0,0,0,
Apr 2001,0,0,0,0,0,
May 2001,0,0,0,0,0,
Jun 2001,0,0,0,0,0,
Jul 2001,0,0,0,0,0,
Aug 2001,0,0,0,0,0,
Sep 2001,0,0,0,0,0,
Oct 2001,0,0,0,0,0,
Nov 2001,0,0,0,0,0,
Dec 2001,0,0,0,0,0,
Jan 2002,0,0,0,0,0,
Feb 2002,0,0,0,0,0,
Mar 2002,0,0,0,0,0,
Apr 2002,0,0,0,0,0,
May 2002,0,0,0,0,0,
Jun 2002,0,0,0,0,0,
Jul 2002,0,0,0,0,0,
Aug 2002,0,0,0,0,0,
Sep 2002,0,0,0,0,0,
Oct 2002,0,0,0,0,0,
Nov 2002,0,0,0,0,0,
Dec 2002,0,0,0,0,0,
Jan 2003,0,0,0,0,0,
Feb 2003,0,0,0,0,0,
Mar 2003,0,0,0,48,48,
Apr 2003,0,0,0,0,0,
May 2003,0,0,0,0,0,
Jun 2003,0,0,0,0,0,
Jul 2003,0,0,0,0,0,
Aug 2003,0,0,0,0,0,
Sep 2003,0,0,0,0,0,
Oct 2003,0,0,0,0,0,
Nov 2003,0,0,0,0,0,
Dec 2003,0,0,0,0,0,
Jan 2004,0,0,0,0,0,
Feb 2004,0,0,0,0,0,
Mar 2004,0,0,0,0,0,
Apr 2004,0,0,0,0,0,
May 2004,0,0,0,0,0,
Jun 2004,0,0,0,0,0,
Jul 2004,0,0,0,0,0,
Aug 2004,0,0,0,0,0,
Sep 2004,0,0,0,0,0,
Oct 2004,0,0,0,0,0,
Nov 2004,0,0,5,0,5,
Dec 2004,0,0,0,0,0,
Jan 2005,0,0,0,0,0,
Feb 2005,0,0,0,0,0,
Mar 2005,0,0,0,0,0,
Apr 2005,0,0,0,0,0,
May 2005,0,0,0,0,0,
Jun 2005,0,0,0,0,0,
Jul 2005,0,0,0,0,0,
Aug 2005,0,0,0,0,0,
Sep 2005,0,0,0,0,0,
Oct 2005,0,0,0,0,0,
Nov 2005,0,0,0,0,0,
Dec 2005,0,0,0,0,0,
Jan 2006,0,0,0,0,0,
Feb 2006,0,0,0,0,0,
Mar 2006,0,0,0,0,0,
Apr 2006,0,0,0,0,0,
May 2006,0,0,0,0,0,
Jun 2006,0,0,0,0,0,
Jul 2006,0,0,0,0,0,
Aug 2006,0,0,0,0,0,
Sep 2006,0,0,0,0,0,
Oct 2006,0,0,0,0,0,
Nov 2006,0,0,0,0,0,
Dec 2006,0,0,0,0,0,
Jan 2007,0,0,0,0,0,
Feb 2007,0,0,0,6,6,
Mar 2007,0,0,0,0,0,
Apr 2007,0,0,0,0,0,
May 2007,0,0,0,0,0,
Jun 2007,0,0,0,4,4,
Jul 2007,0,0,0,0,0,
Aug 2007,0,0,0,0,0,
Sep 2007,0,0,0,0,0,
Oct 2007,0,0,0,0,0,
Nov 2007,0,0,0,0,0,
Dec 2007,0,0,0,0,0,
Jan 2008,0,0,0,0,0,
Feb 2008,0,0,0,0,0,
Mar 2008,0,0,0,0,0,
Apr 2008,0,0,0,0,0,
May 2008,0,0,0,0,0,
Jun 2008,0,0,0,0,0,
Jul 2008,0,0,0,0,0,
Aug 2008,0,0,0,0,0,
Sep 2008,0,0,0,0,0,
Oct 2008,0,0,0,0,0,
Nov 2008,0,0,0,0,0,
Dec 2008,0,0,0,0,0,
Jan 2009,0,0,0,10,10,
Feb 2009,0,0,0,0,0,
Mar 2009,0,0,0,0,0,
Apr 2009,0,0,0,0,0,
May 2009,0,0,0,0,0,
Jun 2009,0,0,0,0,0,
Jul 2009,0,0,0,12,12,
Aug 2009,0,0,0,0,0,
Sep 2009,0,0,0,0,0,
Oct 2009,0,0,0,0,0,
Nov 2009,0,0,0,0,0,
Dec 2009,0,0,0,0,0,
Jan 2010,0,0,0,0,0,
Feb 2010,0,0,0,0,0,
Mar 2010,0,0,0,0,0,
Apr 2010,0,0,0,0,0,
May 2010,0,0,0,0,0,
Jun 2010,0,2,0,0,2,
Jul 2010,0,0,0,0,0,
Aug 2010,0,0,22,0,22,
Sep 2010,0,0,0,0,0,
Oct 2010,0,2,0,0,2,
Nov 2010,0,0,0,0,0,
Dec 2010,0,4,0,0,4,
Jan 2011,0,0,0,0,0,
Feb 2011,0,0,0,0,0,
Mar 2011,0,0,0,0,0,
Apr 2011,0,0,0,0,0,
May 2011,0,0,0,0,0,
Jun 2011,0,0,10,0,10,
Jul 2011,0,0,0,0,0,
Aug 2011,0,0,0,0,0,
Sep 2011,0,0,0,0,0,
Oct 2011,0,0,0,0,0,
Nov 2011,0,0,0,0,0,
Dec 2011,0,0,0,0,0,
Jan 2012,0,0,0,0,0,
Feb 2012,0,0,0,0,0,
Mar 2012,0,0,0,0,0,
Apr 2012,0,0,0,12,12,
May 2012,0,0,0,0,0,
Jun 2012,0,0,0,0,0,
Jul 2012,0,0,0,0,0,
Aug 2012,0,0,0,0,0,
Sep 2012,0,0,0,0,0,
Oct 2012,0,0,0,0,0,
Nov 2012,0,0,0,0,0,
Dec 2012,0,0,0,0,0,
Jan 2013,0,0,0,0,0,
Feb 2013,0,0,0,20,20,
Mar 2013,0,0,0,18,18,
Apr 2013,0,0,0,13,13,
May 2013,0,0,0,25,25,
Jun 2013,0,0,0,88,88,
Jul 2013,0,0,0,19,19,
Aug 2013,0,0,0,19,19,
Sep 2013,0,0,0,18,18,
Oct 2013,0,0,0,18,18,
Nov 2013,0,0,0,16,16,
Dec 2013,0,0,0,17,17,
Jan 2014,0,0,0,6,6,
Feb 2014,0,0,0,25,25,
Mar 2014,0,0,0,25,25,
Apr 2014,0,0,0,16,16,
May 2014,0,0,0,53,53,
Jun 2014,0,0,0,20,20,
Jul 2014,0,0,0,15,15,
Aug 2014,0,0,0,23,23,
Sep 2014,0,0,0,16,16,
Oct 2014,0,0,0,41,41,
Nov 2014,0,0,0,8,8,
Dec 2014,0,0,0,81,81,
Jan 2015,0,0,0,22,22,
Feb 2015,0,0,0,8,8,
Mar 2015,0,0,4,30,34,
Apr 2015,0,0,0,57,57,
May 2015,0,0,0,6,6,
Jun 2015,0,0,12,12,24,
Jul 2015,0,0,0,5,5,
Aug 2015,0,0,0,11,11,
Sep 2015,0,0,4,24,28,
Oct 2015,0,0,0,7,7,
Nov 2015,0,0,0,10,10,
Dec 2015,0,0,0,9,9,
Jan 2016,0,0,0,7,7,
Feb 2016,0,0,0,19,19,
Mar 2016,0,0,0,3,3,
Apr 2016,0,0,0,11,11,
May 2016,0,0,0,13,13,
Jun 2016,1,0,0,130,131,
Jul 2016,0,0,0,8,8,
Aug 2016,0,0,0,7,7,
Sep 2016,0,0,0,11,11,
Oct 2016,0,0,10,5,15,
Nov 2016,0,0,0,5,5,
Dec 2016,0,0,0,1,1,
Jan 2017,0,0,0,3,3,
Feb 2017,0,0,10,7,17,
Mar 2017,0,0,0,0,0,
Apr 2017,0,0,0,3,3,
May 2017,0,0,0,6,6,
Jun 2017,0,0,0,5,5,
Jul 2017,0,0,10,6,16,
Aug 2017,0,0,0,4,4,
Sep 2017,0,0,0,6,6,
Oct 2017,0,0,0,6,6,
Nov 2017,0,0,0,4,4,
Dec 2017,0,0,0,6,6,
Jan 2018,0,0,0,4,4,
Feb 2018,0,0,0,14,14,
Mar 2018,0,0,4,15,19,
Apr 2018,0,0,0,4,4,
May 2018,0,0,0,5,5,
Jun 2018,0,0,0,9,9,
Jul 2018,0,0,0,3,3,
Aug 2018,1,0,5,3,9,
Sep 2018,0,0,12,4,16,
Oct 2018,0,0,3,7,10,
Nov 2018,0,0,0,3,3,
Dec 2018,1,0,3,4,8,
Jan 2019,1,0,0,2,3,
Feb 2019,0,0,4,2,6,
Mar 2019,0,2,15,4,21,
Apr 2019,0,0,4,8,12,
May 2019,0,0,0,1,1,
Jun 2019,0,0,0,1,1,
Jul 2019,0,0,0,4,4,
Aug 2019,0,0,4,1,5,
Sep 2019,0,0,0,1,1,
Oct 2019,0,0,0,2,2,
Nov 2019,0,0,0,4,4,
Dec 2019,0,0,0,8,8,
Jan 2020,0,0,0,3,3,
Feb 2020,0,0,0,5,5,
Mar 2020,0,0,0,4,4,
Apr 2020,0,2,0,16,18,
May 2020,0,0,0,0,0,
Jun 2020,0,0,0,10,10,
Jul 2020,0,0,0,0,0,
Aug 2020,0,0,0,2,2,
Sep 2020,0,0,4,5,9,
Oct 2020,0,0,0,3,3,
Nov 2020,0,0,0,3,3,
Dec 2020,0,0,0,2,2,
Jan 2021,0,0,0,1,1,
Feb 2021,0,0,0,0,0,
Mar 2021,0,0,0,2,2,
Apr 2021,0,0,0,1,1,
May 2021,1,0,0,2,3,
Jun 2021,0,0,0,0,0,
Jul 2021,0,0,0,1,1,
Aug 2021,0,0,0,10,10,
Sep 2021,0,0,3,0,3,
Oct 2021,0,0,0,0,0,
Nov 2021,0,0,0,8,8,
Dec 2021,0,0,0,1,1,
Jan 2022,0,0,0,1,1,
Feb 2022,0,0,0,0,0,
Mar 2022,0,0,0,1,1,
Apr 2022,0,0,0,6,6,
May 2022,0,0,0,0,0,
Jun 2022,0,0,0,0,0,
Jul 2022,0,0,0,0,0,
Aug 2022,0,0,0,0,0,
Sep 2022,0,0,0,0,0,
Oct 2022,0,0,0,0,0,
Nov 2022,0,0,0,0,0,
Dec 2022,0,0,0,0,0,
Jan 2023,0,0,0,0,0,
Feb 2023,0,0,3,0,3,
Mar 2023,0,0,0,0,0,
Apr 2023,0,0,0,6,6,
May 2023,0,0,0,0,0,
Jun 2023,0,0,0,2,2,
Jul 2023,1,0,0,14,15,
Aug 2023,0,0,3,0,3,
Sep 2023,0,0,0,0,0,
Oct 2023,0,0,0,10,10,
Nov 2023,0,0,0,1,1,
Dec 2023,0,0,0,4,4,
Jan 2024,0,0,0,0,0,
Feb 2024,0,0,0,71,71,
Mar 2024,0,0,0,3,3,

Source,CMHC Starts and Completions Survey
